Timestamp,Weight(kg),FilledLevel(%),AirQuality,RemainingFill(%),TimeDiff,FillRate(%)_per_second,EstimatedTimeToFull(s),EstimatedTimeToFull(days)
2024-09-01 06:00:00,0.379638210961977,3,1,97,0 days 00:30:00,0.0016666666666666668,58199.99999999999,0.673611111111111
2024-09-01 06:30:00,0.0,0,0,100,0 days 00:30:00,0.0,,
2024-09-01 07:00:00,0.38116961026291674,3,6,97,0 days 00:30:00,0.0016666666666666668,58199.99999999999,0.673611111111111
2024-09-01 07:30:00,0.7026251964833417,6,5,94,0 days 00:30:00,0.0033333333333333335,28200.0,0.3263888888888889
2024-09-01 08:00:00,1.3779926508721867,9,5,91,0 days 00:30:00,0.005,18200.0,0.21064814814814814
2024-09-01 08:30:00,1.9018727009170902,12,8,88,0 days 00:30:00,0.006666666666666667,13200.0,0.1527777777777778
2024-09-01 09:00:00,2.5127821287443934,15,9,85,0 days 00:30:00,0.008333333333333333,10200.0,0.11805555555555555
2024-09-01 09:30:00,3.0821963784822577,18,8,82,0 days 00:30:00,0.01,8200.0,0.09490740740740741
2024-09-01 10:00:00,3.2976863594298282,21,3,79,0 days 00:30:00,0.011666666666666667,6771.428571428572,0.07837301587301587
2024-09-01 10:30:00,4.090580408421353,24,4,76,0 days 00:30:00,0.013333333333333334,5700.0,0.06597222222222222
2024-09-01 11:00:00,4.491077452839752,27,4,73,0 days 00:30:00,0.015,4866.666666666667,0.05632716049382716
2024-09-01 11:30:00,4.839512501233097,30,5,70,0 days 00:30:00,0.016666666666666666,4200.0,0.04861111111111111
2024-09-01 12:00:00,5.33399744640117,33,1,67,0 days 00:30:00,0.018333333333333333,3654.5454545454545,0.0422979797979798
2024-09-01 12:30:00,5.913124215424493,36,2,64,0 days 00:30:00,0.02,3200.0,0.037037037037037035
2024-09-01 13:00:00,6.599441275387864,39,9,61,0 days 00:30:00,0.021666666666666667,2815.3846153846152,0.03258547008547008
2024-09-01 13:30:00,7.332259604224836,42,8,58,0 days 00:30:00,0.023333333333333334,2485.714285714286,0.02876984126984127
2024-09-01 14:00:00,7.628477154775856,45,2,55,0 days 00:30:00,0.025,2200.0,0.02546296296296296
2024-09-01 14:30:00,8.08856147343335,48,8,52,0 days 00:30:00,0.02666666666666667,1949.9999999999998,0.02256944444444444
2024-09-01 15:00:00,8.542540304039166,51,5,49,0 days 00:30:00,0.028333333333333332,1729.4117647058824,0.020016339869281047
2024-09-01 15:30:00,8.948464366777937,54,7,46,0 days 00:30:00,0.03,1533.3333333333335,0.017746913580246916
